subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8953,7736,1217,0.9070966270662343,0.9294703887293493,0.9187404019296821,True
male,7242,6148,1094,0.911877898491684,0.9231012421570607,0.9274936515175201,True
christian,6740,6091,649,0.9134972435271014,0.9435591991100071,0.9028819522160586,True
white,4096,2939,1157,0.8435507876520068,0.8386650767188271,0.9443549940814646,True
muslim,3488,2680,808,0.858143379636471,0.8689821612098076,0.9349349773908164,True
black,2448,1640,808,0.829920686428399,0.8214277657018237,0.9455680612114645,True
homosexual_gay_or_lesbian,1743,1250,493,0.8517939148073022,0.8378265506595566,0.944967471257529,True
jewish,1277,1072,205,0.8390516927557334,0.904450950501069,0.8923332203634295,True
psychiatric_or_mental_illness,834,677,157,0.9026051613995805,0.9001384464150614,0.9345731822306576,True
asian,747,654,93,0.9007349314392818,0.923717554882117,0.9143135182203752,False
transgender,401,318,83,0.8320641054785178,0.8657769749228859,0.9217964275643654,False
latino,305,242,63,0.889938344483799,0.8920254933958672,0.9340900293899165,False
atheist,261,222,39,0.9162624162624162,0.9370923363997243,0.915469366967876,False
heterosexual,207,160,47,0.8250000000000001,0.8710277172477549,0.9112830659839077,False
hindu,91,77,14,0.9044526901669759,0.9254540331463409,0.9133185524142434,False
buddhist,85,74,11,0.9201474201474201,0.9199935345440077,0.9383670675871592,False
other_race_or_ethnicity,70,50,20,0.8989999999999999,0.9229174891433083,0.9088563101577329,False
bisexual,56,50,6,0.91,0.896106659661106,0.9484904223569793,False
other_religion,54,48,6,0.9444444444444444,0.9379994198520075,0.9254279139300892,False
intellectual_or_learning_disability,19,17,2,0.9705882352941176,0.9656418691935224,0.9147639513800283,False
physical_disability,8,8,0,,0.9401250164063526,,False
other_gender,2,1,1,1.0,0.9943554738776582,0.9030379321920108,False
other_sexual_orientation,2,1,1,0.0,0.7756629036492517,0.8396861362873449,False
other_disability,1,0,1,,,0.9943270505698125,False
