subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8939,7693,1246,701,298,7395,545,0.03873651371376576,0.03464963241723328,0.04328382405708022,0.4373996789727127,0.4100896922548939,0.46509447698590245,0.7017017017017017,0.5626003210272873,0.6244988864142539,True,True
male,7287,6233,1054,658,360,5873,396,0.05775709931012354,0.05223346848578931,0.0638255116245634,0.3757115749525617,0.34697456008318156,0.405351274931752,0.6463654223968566,0.6242884250474383,0.635135135135135,True,True
christian,6625,5999,626,338,200,5799,288,0.03333888981496916,0.02908639399901193,0.0381886559237678,0.46006389776357826,0.42138313378930287,0.4992318093844614,0.6282527881040892,0.5399361022364217,0.5807560137457045,True,True
white,4074,2908,1166,761,471,2437,405,0.16196698762035763,0.1490239102833467,0.17580196784113175,0.34734133790737565,0.32055416094241046,0.37513109852951815,0.6176948051948052,0.6526586620926244,0.634695579649708,True,True
muslim,3529,2729,800,357,150,2579,443,0.05496518871381458,0.04702295772659747,0.06415855916674297,0.55375,0.519127766807031,0.5878585040008587,0.7041420118343196,0.44625,0.5462892119357307,True,True
black,2519,1739,780,388,144,1595,392,0.08280621046578493,0.07075470897047828,0.09669681528817153,0.5025641025641026,0.467549098186914,0.5375539745773387,0.7293233082706767,0.49743589743589745,0.5914634146341463,True,True
homosexual_gay_or_lesbian,1835,1321,514,237,98,1223,277,0.07418622255866768,0.06125495429780671,0.08958683698987142,0.5389105058365758,0.49568696137177704,0.5815567573739061,0.7074626865671642,0.46108949416342415,0.5583038869257951,True,True
jewish,1266,1061,205,95,64,997,110,0.060320452403393024,0.047519183964211564,0.07629404450146801,0.5365853658536586,0.46827834072718394,0.6035464783710135,0.5974842767295597,0.4634146341463415,0.5219780219780219,True,True
psychiatric_or_mental_illness,818,654,164,100,24,630,64,0.03669724770642202,0.024782551864541223,0.0540228474084535,0.3902439024390244,0.3189151927490327,0.4665966810576708,0.8064516129032258,0.6097560975609756,0.6944444444444445,True,True
asian,724,631,93,49,41,590,44,0.06497622820919176,0.04825510913613971,0.08696205040501018,0.4731182795698925,0.3747394097477208,0.5736298108228026,0.5444444444444444,0.5268817204301075,0.5355191256830601,True,False
transgender,417,329,88,38,24,305,50,0.0729483282674772,0.049508071556850324,0.10624613948517542,0.5681818181818182,0.4639867160180164,0.666673229436771,0.6129032258064516,0.4318181818181818,0.5066666666666667,True,False
latino,328,249,79,45,18,231,34,0.07228915662650602,0.04621240276480731,0.11136246255404936,0.43037974683544306,0.3269382343461824,0.5402780103144904,0.7142857142857143,0.569620253164557,0.6338028169014085,True,False
atheist,243,211,32,21,8,203,11,0.037914691943127965,0.01933497730400022,0.07301897956078597,0.34375,0.2041043792443318,0.5168891202103778,0.7241379310344828,0.65625,0.6885245901639345,True,False
heterosexual,215,168,47,22,31,137,25,0.18452380952380953,0.1331505856073086,0.2500017646610606,0.5319148936170213,0.3923238322019481,0.6666831292343925,0.41509433962264153,0.46808510638297873,0.44,True,False
hindu,104,94,10,6,2,92,4,0.02127659574468085,0.005854336239172767,0.07429020489102962,0.4,0.1681803297062362,0.6873262302663417,0.75,0.6,0.6666666666666665,False,False
buddhist,100,88,12,8,3,85,4,0.03409090909090909,0.011660997199585466,0.09549604219270043,0.3333333333333333,0.1381200910912132,0.6093779111272004,0.7272727272727273,0.6666666666666666,0.6956521739130435,False,False
other_race_or_ethnicity,77,57,20,14,4,53,6,0.07017543859649122,0.027626420229066057,0.1670017009603369,0.3,0.1454772448676043,0.5189728183535234,0.7777777777777778,0.7,0.7368421052631577,False,False
bisexual,45,35,10,4,6,29,6,0.17142857142857143,0.08102640053701593,0.3268228229904496,0.6,0.3126737697336583,0.8318196702937637,0.4,0.4,0.4000000000000001,False,False
other_religion,44,42,2,1,2,40,1,0.047619047619047616,0.013157524908905607,0.15789852396958837,0.5,0.09453120573423074,0.9054687942657693,0.3333333333333333,0.5,0.4,False,False
physical_disability,16,14,2,2,0,14,0,0.0,0.0,0.21531080273763575,0.0,0.0,0.6576197724933468,1.0,1.0,1.0,False,False
intellectual_or_learning_disability,15,11,4,2,0,11,2,0.0,0.0,0.25883296696803165,0.5,0.15003898915214958,0.8499610108478504,1.0,0.5,0.6666666666666666,False,False
other_sexual_orientation,2,2,0,0,0,2,0,0.0,0.0,0.6576197724933468,,,,,,,False,False
other_gender,1,1,0,0,0,1,0,0.0,0.0,0.7934506856227626,,,,,,,False,False
