subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,978,1322,6298,196,0.17349081364829397,0.16515365670543966,0.182157009855861,0.16695059625212946,0.14671136987378414,0.18936226368384906,0.4252173913043478,0.8330494037478705,0.5630397236614852,True,True
male,7346,6224,1122,956,1226,4998,166,0.19697943444730076,0.18728693771305857,0.20704574963279646,0.14795008912655971,0.12837698980052328,0.1699256319313893,0.4381301558203483,0.8520499108734403,0.5786924939467312,True,True
christian,6689,6023,666,517,717,5306,149,0.11904366594720239,0.11110701751044316,0.12746595120707885,0.22372372372372373,0.19370916761801885,0.2569071011213162,0.4189627228525122,0.7762762762762763,0.5442105263157896,True,True
white,4218,3024,1194,1067,1364,1660,127,0.45105820105820105,0.4333962169126046,0.4688443712999339,0.10636515912897822,0.09012260808118275,0.12513247173092,0.43891402714932126,0.8936348408710217,0.5886896551724138,True,True
muslim,3471,2651,820,696,890,1761,124,0.33572236891738966,0.31799488458965774,0.35392526073348085,0.15121951219512195,0.12832780686419162,0.17736384791268509,0.43883984867591425,0.848780487804878,0.5785536159600997,True,True
black,2472,1657,815,740,769,888,75,0.464091732045866,0.44019011624208304,0.48815945657957716,0.09202453987730061,0.07404747544879903,0.11382950264444328,0.49039098740888004,0.9079754601226994,0.6368330464716007,True,True
homosexual_gay_or_lesbian,1818,1319,499,456,579,740,43,0.43896891584533737,0.41240290345072916,0.46588939006150265,0.08617234468937876,0.06460363630789964,0.11406392827875522,0.4405797101449275,0.9138276553106213,0.5945241199478487,True,True
jewish,1334,1124,210,169,247,877,41,0.2197508896797153,0.19652051172711266,0.2448903398842942,0.19523809523809524,0.14730416613639136,0.25412154099307654,0.40625,0.8047619047619048,0.5399361022364217,True,True
psychiatric_or_mental_illness,838,690,148,123,135,555,25,0.1956521739130435,0.16777145999451654,0.2269029362085238,0.16891891891891891,0.11711370401207141,0.23747626923281281,0.47674418604651164,0.831081081081081,0.605911330049261,True,True
asian,780,686,94,72,92,594,22,0.13411078717201166,0.11063736623135943,0.16165919759334182,0.23404255319148937,0.1599421995334497,0.32902698998332947,0.43902439024390244,0.7659574468085106,0.558139534883721,True,False
transgender,412,327,85,71,111,216,14,0.3394495412844037,0.29025518067728356,0.3923722615596135,0.16470588235294117,0.1007246206539652,0.2576830331978105,0.3901098901098901,0.8352941176470589,0.5318352059925093,True,False
latino,355,276,79,68,64,212,11,0.2318840579710145,0.1859806630111123,0.28514845193954397,0.13924050632911392,0.07956540644605792,0.23237331588651916,0.5151515151515151,0.8607594936708861,0.6445497630331753,True,False
atheist,217,195,22,16,32,163,6,0.1641025641025641,0.11870559249075922,0.22247807827415078,0.2727272727272727,0.1315076028798947,0.4815173401240238,0.3333333333333333,0.7272727272727273,0.4571428571428572,True,False
heterosexual,186,151,35,31,64,87,4,0.423841059602649,0.3478721618219816,0.5035888088045356,0.11428571428571428,0.0453517933309736,0.25951468646213804,0.3263157894736842,0.8857142857142857,0.4769230769230769,True,False
buddhist,94,80,14,13,18,62,1,0.225,0.1473320734084664,0.3278678978360735,0.07142857142857142,0.012722215247890911,0.31468704424151117,0.41935483870967744,0.9285714285714286,0.5777777777777778,False,False
other_race_or_ethnicity,89,71,18,16,18,53,2,0.2535211267605634,0.16680551163187113,0.36553925353561006,0.1111111111111111,0.03101952264561239,0.32799765130178793,0.47058823529411764,0.8888888888888888,0.6153846153846153,False,False
hindu,81,71,10,8,13,58,2,0.18309859154929578,0.110247261042849,0.2884817227439125,0.2,0.056682151454375274,0.5098375284633582,0.38095238095238093,0.8,0.5161290322580645,False,False
other_religion,45,42,3,3,6,36,0,0.14285714285714285,0.06715967015962647,0.2784108947444477,0.0,0.0,0.5614970317550454,0.3333333333333333,1.0,0.5,False,False
bisexual,45,35,10,9,11,24,1,0.3142857142857143,0.18550844674265823,0.47979763612069193,0.1,0.017876213095072924,0.40415002679523837,0.45,0.9,0.6,False,False
physical_disability,15,14,1,1,3,11,0,0.21428571428571427,0.07571386712693182,0.47589230586600284,0.0,0.0,0.7934506856227626,0.25,1.0,0.4,False,False
intellectual_or_learning_disability,14,13,1,1,1,12,0,0.07692307692307693,0.013710421242556586,0.3331395092109958,0.0,0.0,0.7934506856227626,0.5,1.0,0.6666666666666666,False,False
other_gender,2,1,1,0,1,0,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
