subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8927,7749,1178,648,289,7460,530,0.03729513485611047,0.033300332214922214,0.041748469171144005,0.44991511035653653,0.42171467013751096,0.4784411425399808,0.6915688367129136,0.5500848896434635,0.6127659574468085,True,True
male,7404,6293,1111,626,282,6011,485,0.04481169553472112,0.03997177803524992,0.05020699850441581,0.4365436543654365,0.40764858467885623,0.4658760327594357,0.6894273127753304,0.5634563456345635,0.6201089648340763,True,True
christian,6594,5976,618,279,155,5821,339,0.025937081659973226,0.022201496786933596,0.030281743944767667,0.5485436893203883,0.5091296042944495,0.5873580118799182,0.6428571428571429,0.45145631067961167,0.5304182509505704,True,True
white,4155,3022,1133,612,274,2748,521,0.09066843150231635,0.08094400089523747,0.10143219638106381,0.45984112974404234,0.4310055569083314,0.4889481012786253,0.690744920993228,0.5401588702559577,0.6062407132243685,True,True
muslim,3422,2612,810,424,197,2415,386,0.07542113323124043,0.06590590967404926,0.08618337596639393,0.4765432098765432,0.4423398773117908,0.5109679818687132,0.6827697262479872,0.5234567901234568,0.5925925925925927,True,True
black,2477,1700,777,416,160,1540,361,0.09411764705882353,0.08113805454312631,0.10892743373583569,0.4646074646074646,0.429799047440794,0.49976411883489713,0.7222222222222222,0.5353925353925354,0.614929785661493,True,True
homosexual_gay_or_lesbian,1838,1336,502,273,148,1188,229,0.11077844311377245,0.09505177088406934,0.12873698923133234,0.45617529880478086,0.4131021892713907,0.49991403501639203,0.6484560570071259,0.5438247011952191,0.5915492957746478,True,True
jewish,1271,1066,205,91,52,1014,114,0.04878048780487805,0.037391599491883656,0.06340974628842452,0.5560975609756098,0.4876734524223535,0.6224579368615494,0.6363636363636364,0.44390243902439025,0.5229885057471264,True,True
psychiatric_or_mental_illness,813,650,163,96,34,616,67,0.052307692307692305,0.037670607191243766,0.0722053541010724,0.4110429447852761,0.3384041682194934,0.4877781236102219,0.7384615384615385,0.588957055214724,0.6552901023890785,True,True
asian,764,673,91,59,22,651,32,0.03268945022288262,0.02168517706870173,0.04899822773343831,0.3516483516483517,0.26137278366720146,0.453941591124884,0.7283950617283951,0.6483516483516484,0.686046511627907,True,False
transgender,404,327,77,29,20,307,48,0.06116207951070336,0.03993846167434861,0.09257654710650323,0.6233766233766234,0.5117280371207937,0.7232998839134108,0.5918367346938775,0.37662337662337664,0.46031746031746035,True,False
latino,351,280,71,35,18,262,36,0.06428571428571428,0.041047153641855086,0.09931803115612196,0.5070422535211268,0.39341308325020075,0.6199484948878713,0.660377358490566,0.49295774647887325,0.5645161290322581,True,False
atheist,256,226,30,17,11,215,13,0.048672566371681415,0.027392303093202147,0.08503936590718382,0.43333333333333335,0.2737748557646653,0.6080269299918639,0.6071428571428571,0.5666666666666667,0.5862068965517241,True,False
heterosexual,230,167,63,24,13,154,39,0.07784431137724551,0.046054515315211375,0.12861888671897573,0.6190476190476191,0.49558630380230867,0.7288253153432027,0.6486486486486487,0.38095238095238093,0.48,True,False
buddhist,99,84,15,5,3,81,10,0.03571428571428571,0.012219669231335377,0.09981693572513448,0.6666666666666666,0.41713547738519774,0.8482367556028526,0.625,0.3333333333333333,0.43478260869565216,False,False
hindu,92,78,14,8,3,75,6,0.038461538461538464,0.01316582541316106,0.10708446047501827,0.42857142857142855,0.21380798904474121,0.6740935542034925,0.7272727272727273,0.5714285714285714,0.64,False,False
other_race_or_ethnicity,77,61,16,6,6,55,10,0.09836065573770492,0.045864575815470515,0.19844607216825944,0.625,0.38641040545502725,0.8151876744113637,0.5,0.375,0.42857142857142855,False,False
other_religion,56,51,5,2,2,49,3,0.0392156862745098,0.010821083352867092,0.13216305655362265,0.6,0.23072428127601297,0.8823792257673521,0.5,0.4,0.4444444444444445,False,False
bisexual,47,36,11,4,0,36,7,0.0,0.0,0.09641862859446362,0.6363636363636364,0.353801174507849,0.8483352890463244,1.0,0.36363636363636365,0.5333333333333333,False,False
intellectual_or_learning_disability,16,14,2,1,0,14,1,0.0,0.0,0.21531080273763575,0.5,0.09453120573423074,0.9054687942657693,1.0,0.5,0.6666666666666666,False,False
physical_disability,12,10,2,1,0,10,1,0.0,2.7755575615628914e-17,0.27753279986288915,0.5,0.09453120573423074,0.9054687942657693,1.0,0.5,0.6666666666666666,False,False
other_sexual_orientation,3,2,1,0,0,2,1,0.0,0.0,0.6576197724933468,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_gender,1,0,1,0,0,0,1,,,,1.0,0.20654931437723745,1.0,,0.0,,False,False
