subgroup,n,n_nontoxic,n_toxic,tp,fp,tn,fn,fpr,fpr_ci_low,fpr_ci_high,fnr,fnr_ci_low,fnr_ci_high,precision,recall,f1,reportable_fpr,reportable_fnr
female,8794,7620,1174,917,1047,6573,257,0.1374015748031496,0.12985422200666552,0.14531433575413577,0.21890971039182283,0.19619368919867394,0.2434592496095587,0.4669042769857434,0.7810902896081772,0.5844486934353091,True,True
male,7346,6224,1122,903,973,5251,219,0.15633033419023137,0.1475202283022279,0.16556440490709548,0.19518716577540107,0.17305217971018688,0.2194022421437729,0.48134328358208955,0.8048128342245989,0.6024016010673783,True,True
christian,6689,6023,666,478,583,5440,188,0.09679561680225801,0.08958329197840209,0.10452193989368427,0.2822822822822823,0.2494216390242518,0.31764009449315894,0.4505183788878417,0.7177177177177178,0.5535610885929357,True,True
white,4218,3024,1194,1015,1077,1947,179,0.35615079365079366,0.33927579508574,0.37339079864705926,0.14991624790619765,0.13079141910742706,0.17128650293823025,0.48518164435946465,0.8500837520938024,0.6177723676202069,True,True
muslim,3471,2651,820,652,736,1915,168,0.2776310826103357,0.2609147950064023,0.2949908896502916,0.2048780487804878,0.17865908940898942,0.23384923386375236,0.4697406340057637,0.7951219512195122,0.5905797101449276,True,True
black,2472,1657,815,711,625,1032,104,0.3771876885938443,0.3541600672414948,0.4007834297199813,0.1276073619631902,0.10643476316711216,0.15227399728792257,0.532185628742515,0.8723926380368098,0.6610878661087867,True,True
homosexual_gay_or_lesbian,1818,1319,499,418,478,841,81,0.36239575435936316,0.3368885949515478,0.3887021040853476,0.1623246492985972,0.13257107424295342,0.1972375680468836,0.46651785714285715,0.8376753507014028,0.5992831541218638,True,True
jewish,1334,1124,210,156,195,929,54,0.17348754448398576,0.15247216648913606,0.19672714316605863,0.2571428571428571,0.20276431377339582,0.32024679659539884,0.4444444444444444,0.7428571428571429,0.5561497326203209,True,True
psychiatric_or_mental_illness,838,690,148,125,121,569,23,0.1753623188405797,0.14880712940826213,0.20551222654164752,0.1554054054054054,0.1058427333885073,0.2224039734582089,0.508130081300813,0.8445945945945946,0.6345177664974619,True,True
asian,780,686,94,71,77,609,23,0.11224489795918367,0.09074930150415825,0.1380590091626566,0.24468085106382978,0.16893461096432766,0.3404758109717802,0.4797297297297297,0.7553191489361702,0.5867768595041323,True,False
transgender,412,327,85,65,89,238,20,0.27217125382262997,0.22678429964874627,0.3228489279064695,0.23529411764705882,0.15779538725698744,0.3356843394680986,0.42207792207792205,0.7647058823529411,0.5439330543933054,True,False
latino,355,276,79,66,45,231,13,0.16304347826086957,0.12414171065618596,0.21119623110612523,0.16455696202531644,0.09876707200220361,0.26145665227194703,0.5945945945945946,0.8354430379746836,0.6947368421052632,True,False
atheist,217,195,22,18,18,177,4,0.09230769230769231,0.059187229725627476,0.1411807370806374,0.18181818181818182,0.07306884583422057,0.3851660743712655,0.5,0.8181818181818182,0.6206896551724137,True,False
heterosexual,186,151,35,30,49,102,5,0.32450331125827814,0.2549849664184446,0.4027294441557039,0.14285714285714285,0.06260231079433716,0.29375554086595146,0.379746835443038,0.8571428571428571,0.5263157894736843,True,False
buddhist,94,80,14,10,13,67,4,0.1625,0.09749819402950374,0.25842904340697714,0.2857142857142857,0.11721378644576919,0.5464908432989318,0.43478260869565216,0.7142857142857143,0.5405405405405405,False,False
other_race_or_ethnicity,89,71,18,15,11,60,3,0.15492957746478872,0.0887730427016977,0.2565096285327758,0.16666666666666666,0.05836576805861449,0.39222038103915724,0.5769230769230769,0.8333333333333334,0.6818181818181818,False,False
hindu,81,71,10,5,8,63,5,0.11267605633802817,0.058212717297928734,0.20690048510811307,0.5,0.23659309051256405,0.763406909487436,0.38461538461538464,0.5,0.4347826086956522,False,False
other_religion,45,42,3,2,6,36,1,0.14285714285714285,0.06715967015962647,0.2784108947444477,0.3333333333333333,0.06149194472039632,0.7923403991979523,0.25,0.6666666666666666,0.36363636363636365,False,False
bisexual,45,35,10,7,9,26,3,0.2571428571428571,0.1416302706906045,0.4206930684383917,0.3,0.10779126740630104,0.6032218525388545,0.4375,0.7,0.5384615384615384,False,False
physical_disability,15,14,1,1,2,12,0,0.14285714285714285,0.04009392127146494,0.3994137949697035,0.0,0.0,0.7934506856227626,0.3333333333333333,1.0,0.5,False,False
intellectual_or_learning_disability,14,13,1,1,0,13,0,0.0,1.3877787807814457e-17,0.2280953723541983,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
other_gender,2,1,1,0,0,1,1,0.0,0.0,0.7934506856227626,1.0,0.20654931437723745,1.0,,0.0,,False,False
other_sexual_orientation,1,0,1,1,0,0,0,,,,0.0,0.0,0.7934506856227626,1.0,1.0,1.0,False,False
