subgroup,n,n_nontoxic,n_toxic,subgroup_auc,bpsn_auc,bnsp_auc,reportable
female,8709,7555,1154,0.9070397099491081,0.9353619013544909,0.914529761848845,True
male,7282,6173,1109,0.9057137039234094,0.9269631040284197,0.9215593801005013,True
christian,6671,6068,603,0.9075721152532219,0.9494959703181503,0.8897268619869154,True
white,4216,3037,1179,0.8543500670134778,0.8535933630155617,0.9426748601852932,True
muslim,3556,2724,832,0.8585523180701458,0.8829721814205139,0.928412519143844,True
black,2470,1692,778,0.8421389481424761,0.8301936281141761,0.9463405855040102,True
homosexual_gay_or_lesbian,1851,1333,518,0.8367487624801954,0.8488902960847943,0.9363202985344519,True
jewish,1214,1029,185,0.8551887164132063,0.9101482746909442,0.8992236976695236,True
psychiatric_or_mental_illness,792,628,164,0.9196005514991454,0.9090890352732103,0.9428647272961966,True
asian,772,674,98,0.9060740023012173,0.9282654462657872,0.9171602383972246,False
transgender,390,317,73,0.8742707748152629,0.8826745905867776,0.9293257566791917,False
latino,360,296,64,0.8515097128378379,0.8926335253188332,0.9151636427848528,False
atheist,255,220,35,0.9102597402597401,0.9440259997123129,0.9030185764101971,False
heterosexual,207,155,52,0.7946029776674938,0.870801911525853,0.9075115075245489,False
buddhist,100,91,9,0.9548229548229548,0.9410983234899135,0.9392727068975177,False
hindu,81,76,5,0.9394736842105262,0.9341249844469329,0.9327199395008823,False
other_race_or_ethnicity,77,59,18,0.8634651600753296,0.9109896333890054,0.9028580468846253,False
other_religion,65,57,8,0.8464912280701755,0.9089014745509155,0.8905483502452791,False
bisexual,52,42,10,0.8571428571428571,0.8578516043031749,0.9380901593913235,False
intellectual_or_learning_disability,24,21,3,0.9841269841269841,0.9740802571028411,0.9515362659503022,False
physical_disability,14,14,0,,0.919393246207789,,False
other_sexual_orientation,4,2,2,0.75,0.7709071813049757,0.9702076234914987,False
other_gender,2,2,0,,0.8812508203176269,,False
other_disability,1,0,1,,,0.9980027189875966,False
