model,subgroup,policy,n_nontoxic_val,threshold,val_fpr_before,val_fpr_after,fitted
baseline,male,equalize,4123,0.6070809364318848,0.05020616056269706,0.03322823186999758,True
baseline,female,equalize,5022,0.5820753574371338,0.04400637196336121,0.0332536837913182,True
baseline,transgender,equalize,229,0.586700439453125,0.056768558951965066,0.03056768558951965,True
baseline,other_gender,equalize,0,,,,False
baseline,heterosexual,equalize,111,0.7980294823646545,0.05405405405405406,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,equalize,870,0.7292305827140808,0.08620689655172414,0.03333333333333333,True
baseline,bisexual,equalize,27,,,,False
baseline,other_sexual_orientation,equalize,1,,,,False
baseline,christian,equalize,4145,0.4282931685447693,0.024607961399276235,0.033293124246079615,True
baseline,jewish,equalize,697,0.628977358341217,0.05738880918220947,0.03443328550932568,True
baseline,muslim,equalize,1773,0.7412996292114258,0.09024252679075014,0.03327693175408911,True
baseline,hindu,equalize,83,,,,False
baseline,buddhist,equalize,82,,,,False
baseline,atheist,equalize,147,0.6021201014518738,0.047619047619047616,0.027210884353741496,True
baseline,other_religion,equalize,37,,,,False
baseline,black,equalize,1160,0.7622470855712891,0.12241379310344827,0.032758620689655175,True
baseline,white,equalize,1968,0.7713271975517273,0.12347560975609756,0.033028455284552845,True
baseline,asian,equalize,436,0.5613651275634766,0.04128440366972477,0.03211009174311927,True
baseline,latino,equalize,167,0.8820220232009888,0.09580838323353294,0.029940119760479042,True
baseline,other_race_or_ethnicity,equalize,39,,,,False
baseline,physical_disability,equalize,8,,,,False
baseline,intellectual_or_learning_disability,equalize,10,,,,False
baseline,psychiatric_or_mental_illness,equalize,396,0.6729767918586731,0.07828282828282829,0.03282828282828283,True
baseline,other_disability,equalize,0,,,,False
baseline,male,cap,4123,0.6070809364318848,0.05020616056269706,0.03322823186999758,True
baseline,female,cap,5022,0.5820753574371338,0.04400637196336121,0.0332536837913182,True
baseline,transgender,cap,229,0.586700439453125,0.056768558951965066,0.03056768558951965,True
baseline,other_gender,cap,0,,,,False
baseline,heterosexual,cap,111,0.7980294823646545,0.05405405405405406,0.02702702702702703,True
baseline,homosexual_gay_or_lesbian,cap,870,0.7292305827140808,0.08620689655172414,0.03333333333333333,True
baseline,bisexual,cap,27,,,,False
baseline,other_sexual_orientation,cap,1,,,,False
baseline,christian,cap,4145,0.5,0.024607961399276235,0.024607961399276235,True
baseline,jewish,cap,697,0.628977358341217,0.05738880918220947,0.03443328550932568,True
baseline,muslim,cap,1773,0.7412996292114258,0.09024252679075014,0.03327693175408911,True
baseline,hindu,cap,83,,,,False
baseline,buddhist,cap,82,,,,False
baseline,atheist,cap,147,0.6021201014518738,0.047619047619047616,0.027210884353741496,True
baseline,other_religion,cap,37,,,,False
baseline,black,cap,1160,0.7622470855712891,0.12241379310344827,0.032758620689655175,True
baseline,white,cap,1968,0.7713271975517273,0.12347560975609756,0.033028455284552845,True
baseline,asian,cap,436,0.5613651275634766,0.04128440366972477,0.03211009174311927,True
baseline,latino,cap,167,0.8820220232009888,0.09580838323353294,0.029940119760479042,True
baseline,other_race_or_ethnicity,cap,39,,,,False
baseline,physical_disability,cap,8,,,,False
baseline,intellectual_or_learning_disability,cap,10,,,,False
baseline,psychiatric_or_mental_illness,cap,396,0.6729767918586731,0.07828282828282829,0.03282828282828283,True
baseline,other_disability,cap,0,,,,False
mitigated,male,equalize,4123,0.4629586040973663,0.022313849138976473,0.02352655833131215,True
mitigated,female,equalize,5022,0.4577729105949402,0.02130625248904819,0.023496614894464356,True
mitigated,transgender,equalize,229,0.3489778339862823,0.017467248908296942,0.021834061135371178,True
mitigated,other_gender,equalize,0,,,,False
mitigated,heterosexual,equalize,111,0.635448694229126,0.04504504504504504,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,equalize,870,0.8357518315315247,0.04367816091954023,0.022988505747126436,True
mitigated,bisexual,equalize,27,,,,False
mitigated,other_sexual_orientation,equalize,1,,,,False
mitigated,christian,equalize,4145,0.2786492109298706,0.013268998793727383,0.023401688781664657,True
mitigated,jewish,equalize,697,0.4426063895225525,0.01721664275466284,0.02295552367288379,True
mitigated,muslim,equalize,1773,0.7412996292114258,0.03722504230118443,0.023124647490129723,True
mitigated,hindu,equalize,83,,,,False
mitigated,buddhist,equalize,82,,,,False
mitigated,atheist,equalize,147,0.7396105527877808,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,equalize,37,,,,False
mitigated,black,equalize,1160,0.7937461733818054,0.05517241379310345,0.02327586206896552,True
mitigated,white,equalize,1968,0.7918210625648499,0.051829268292682924,0.023373983739837397,True
mitigated,asian,equalize,436,0.5088872909545898,0.022935779816513763,0.022935779816513763,True
mitigated,latino,equalize,167,0.9450961351394652,0.05389221556886228,0.017964071856287425,True
mitigated,other_race_or_ethnicity,equalize,39,,,,False
mitigated,physical_disability,equalize,8,,,,False
mitigated,intellectual_or_learning_disability,equalize,10,,,,False
mitigated,psychiatric_or_mental_illness,equalize,396,0.7937461733818054,0.04040404040404041,0.022727272727272728,True
mitigated,other_disability,equalize,0,,,,False
mitigated,male,cap,4123,0.5,0.022313849138976473,0.022313849138976473,True
mitigated,female,cap,5022,0.5,0.02130625248904819,0.02130625248904819,True
mitigated,transgender,cap,229,0.5,0.017467248908296942,0.017467248908296942,True
mitigated,other_gender,cap,0,,,,False
mitigated,heterosexual,cap,111,0.635448694229126,0.04504504504504504,0.018018018018018018,True
mitigated,homosexual_gay_or_lesbian,cap,870,0.8357518315315247,0.04367816091954023,0.022988505747126436,True
mitigated,bisexual,cap,27,,,,False
mitigated,other_sexual_orientation,cap,1,,,,False
mitigated,christian,cap,4145,0.5,0.013268998793727383,0.013268998793727383,True
mitigated,jewish,cap,697,0.5,0.01721664275466284,0.01721664275466284,True
mitigated,muslim,cap,1773,0.7412996292114258,0.03722504230118443,0.023124647490129723,True
mitigated,hindu,cap,83,,,,False
mitigated,buddhist,cap,82,,,,False
mitigated,atheist,cap,147,0.7396105527877808,0.027210884353741496,0.02040816326530612,True
mitigated,other_religion,cap,37,,,,False
mitigated,black,cap,1160,0.7937461733818054,0.05517241379310345,0.02327586206896552,True
mitigated,white,cap,1968,0.7918210625648499,0.051829268292682924,0.023373983739837397,True
mitigated,asian,cap,436,0.5088872909545898,0.022935779816513763,0.022935779816513763,True
mitigated,latino,cap,167,0.9450961351394652,0.05389221556886228,0.017964071856287425,True
mitigated,other_race_or_ethnicity,cap,39,,,,False
mitigated,physical_disability,cap,8,,,,False
mitigated,intellectual_or_learning_disability,cap,10,,,,False
mitigated,psychiatric_or_mental_illness,cap,396,0.7937461733818054,0.04040404040404041,0.022727272727272728,True
mitigated,other_disability,cap,0,,,,False
