subgroup,n,n_toxic,n_nontoxic,toxic_rate,test_n,test_n_nontoxic,test_n_toxic
female,58584,8003,50581,0.1366,8789,7586,1203
male,48870,7355,41515,0.1505,7217,6139,1078
christian,44649,4090,40559,0.0916,6783,6161,622
white,27534,7780,19754,0.2826,4101,2954,1147
muslim,23046,5264,17782,0.2284,3528,2736,792
black,16420,5181,11239,0.3155,2477,1723,754
homosexual_gay_or_lesbian,12062,3411,8651,0.2828,1818,1310,508
jewish,8486,1378,7108,0.1624,1255,1063,192
psychiatric_or_mental_illness,5400,1136,4264,0.2104,791,629,162
asian,5032,612,4420,0.1216,763,663,100
transgender,2759,583,2176,0.2113,425,333,92
latino,2229,439,1790,0.1969,330,273,57
atheist,1692,206,1486,0.1217,222,196,26
heterosexual,1432,323,1109,0.2256,243,176,67
buddhist,641,76,565,0.1186,116,101,15
hindu,631,66,565,0.1046,109,93,16
other_race_or_ethnicity,549,102,447,0.1858,90,74,16
other_religion,354,48,306,0.1356,54,47,7
bisexual,321,69,252,0.215,46,37,9
intellectual_or_learning_disability,117,7,110,0.0598,19,17,2
physical_disability,91,7,84,0.0769,11,10,1
other_sexual_orientation,11,3,8,0.2727,2,1,1
other_gender,10,3,7,0.3,2,2,0
other_disability,5,1,4,0.2,1,1,0
